Date;O3 (µg/m3);O3 8h max (µg/m3);O3 8h max - ICA;D.vien (grados);H (%);P (mBar);Precipitación (l/m2);R (w/m2);Tº (ºC);V.vien (m/s);ICA Estación
13/03/2017;67;80;Buena / Ona;1;84;957,8;0;49,4;7,2;2,56;Buena / Ona
12/03/2017;73;79;Buena / Ona;318;80;951,8;0;46,1;8,3;2;Buena / Ona
11/03/2017;54;87;Buena / Ona;20;65;950,2;0;121,8;12,3;1,37;Buena / Ona
10/03/2017;35;74;Buena / Ona;318;63;953,8;0;173,7;12,6;0,14;Buena / Ona
09/03/2017;28;56;Muy buena / Oso ona;161;81;957,6;0;159,9;10,9;0,1;Muy buena / Oso ona
08/03/2017;37;63;Buena / Ona;317;79;958,8;0;152,1;11,8;0,33;Buena / Ona
07/03/2017;52;72;Buena / Ona;316;75;957,5;0;74,9;10,5;1,33;Buena / Ona
06/03/2017;69;81;Buena / Ona;271;68;953,3;0;135,2;12;2,09;Buena / Ona
05/03/2017;70;75;Buena / Ona;235;72;946,1;0;57;9,2;4,12;Buena / Ona
04/03/2017;62;74;Buena / Ona;248;69;936,6;0;130,5;5,2;2,14;Buena / Ona
03/03/2017;60;72;Buena / Ona;181;64;934,2;0;79,3;10,3;2,41;Buena / Ona
02/03/2017;51;71;Buena / Ona;228;65;948;0;136,1;11,8;2,12;Buena / Ona
01/03/2017;50;68;Buena / Ona;236;70;949;0;106;8,1;2,44;Buena / Ona
28/02/2017;72;81;Buena / Ona;253;70;943,2;0;54,5;7,5;4,42;Buena / Ona
27/02/2017;74;81;Buena / Ona;242;58;943,3;0;133,8;11;5,79;Buena / Ona
26/02/2017;37;61;Buena / Ona;5;72;950,4;0;133,6;9,1;0,28;Buena / Ona
25/02/2017;38;62;Buena / Ona;329;67;951,3;0;140,4;7,4;0,22;Buena / Ona
24/02/2017;60;69;Buena / Ona;7;80;950,9;0;61,6;6,9;1,48;Buena / Ona
23/02/2017;27;42;Muy buena / Oso ona;14;69;948;0;103,2;9,8;0,82;Muy buena / Oso ona
22/02/2017;17;30;Muy buena / Oso ona;326;78;952,5;0;118,5;9,2;0,08;Muy buena / Oso ona
21/02/2017;32;54;Muy buena / Oso ona;11;81;956,4;0;116,4;7,3;0,4;Muy buena / Oso ona
20/02/2017;63;77;Buena / Ona;28;76;958,3;0;113,8;8,5;1,11;Buena / Ona
19/02/2017;65;76;Buena / Ona;15;81;957,5;0;79,2;8,9;1,15;Buena / Ona
18/02/2017;35;70;Buena / Ona;2;80;952,8;0;106,7;7;0,81;Buena / Ona
17/02/2017;22;40;Muy buena / Oso ona;300;77;957,8;0;125,9;7,8;0,17;Muy buena / Oso ona
16/02/2017;20;42;Muy buena / Oso ona;300;80;961,2;0;114,5;8,4;0,75;Muy buena / Oso ona
15/02/2017;36;64;Buena / Ona;350;70;960,6;0;116,9;9,6;0,05;Buena / Ona
14/02/2017;38;58;Muy buena / Oso ona;202;67;952;0;98,9;9,3;0,63;Muy buena / Oso ona
13/02/2017;65;80;Buena / Ona;158;72;938,1;2;75,2;9,7;6,05;Buena / Ona
