OBJECTID	CENTRO	DIRECCION	CAPACIDAD	PROBLEMAS
82	Estadio Santiago Bernabeu	Plaza Carlos Trías Bertrßn	16	true
83	Ejes principales del Plan Director	Plaza de la Rep·blica Dominicana, 3	10	false
84	"Polideportivo ""Antonio Magari±os"""	Serrano, 127	10	false
85	"IES ""Ramiro de Maeztu"""	Serrano, 127	5	false
86	"Metro ""Pavones"""	Hacienda de Pavones, 340	10	false
87	"JMD ""Moratalaz"""	Fuente Carrantona, 8	10	false
88	Ejes principales del Plan Director	Paseo Castellana, 178	10	true
89	"Metro ""Ventilla"", Oficina de la Vivienda de Madrid"	Av. Asturias, 32	10	false
90	"Colegio P·blico ""Breogßn"""	Ginzo de Limia, 2	10	false
91	"Centro Municipal Deportivo ""Vicente del Bosque"""	Av. Monforte de Lemos, 15	10	false
92	"Polideportivo ""Monforte de Lemos"""	Av. Monforte de Lemos, 13	10	false
93	"Centro Deportivo Municipal ""La Mas¾"""	La Masó y Collado de Cerro Malejo, 38	10	false
94	"Centro Comercial ""La Vaguada"""	Av. Monforte de Lemos, 32	6	false
95	"Centro Comercial ""La Vaguada"""	Av. Monforte de Lemos, 30	12	false
96	"Centro Comercial ""La Vaguada"""	Av. Monforte de Lemos, 34	6	false
97	"Centro Cultural ""La Vaguada"""	Monforte de Lemos, 36-38	10	false
98	Francisco Silvela	Francisco Silvela, 66	10	false
99	Zona peatonal Fuencarral	Fuencarral, 1	6	false
100	"Mercado ""Barcel¾"""	Barceló, 7	10	false
101	"Centro Cultural ""EntrevÝas"""	Av. Entrevías - Timoteo PÚrez Rubio	10	false
191	"Centro de Salud ""Villablanca"""	Villablanca, 81	10	false
192	"IES ""Villablanca"""	Villablanca, 79	8	false
193	"Jardines ""Dionisio Ridruejo"""	Molina de Segura, 7-9	10	true
194	"Metro ""PacÝfico"""	Av. Ciudad de Barcelona, 79	10	false
195	BasÝlica San Francisco el Grande	Plaza de San Francisco, 1	10	false
196	"Metro ""Embajadores"""	Glorieta Embajadores	10	false
197	Escuela TÚcnica Ingenieros Industriales	Ronda de Valencia, 3	10	false
198	Escuela TÚcnica Ingenieros Industriales	Bernardino Obregón, 1	8	false
199	Ejes principales del Plan Director	Paseo Castellana, 244	10	false
200	"Colegio ""Nuestra Se±ora de la Merced"""	Av. Alfonso XIII, 165	10	false
201	Ejes principales del Plan Director	Paseo Castellana, 278	10	false
202	Ejes principales del Plan Director	Paseo Castellana, 296	10	true
203	"Metro ""Almendrales"""	Av. Córdoba, 21	10	false
204	Colegio P·blico ôNtra. Sra. de la Palomaö	Carretera de San Francisco, 5	10	false
205	"Polideportivo ""Las Cruces"""	Av. Poblados, s/n	10	false
206	"IES ""Vista Alegre"""	General Ricardos 177	10	false
207	"Colegio ""Federico Moreno Torroba"""	General Ricardos, 177	10	false
208	"Metro ""Conde de Casal"""	Plaza de Conde de Casal	10	false
209	"Metro ""Las Suertes"""	Ensanche de Vallecas Cinco	10	false
210	"Metro ""Valdecarros"""	Ensanche de Vallecas Uno	10	false
211	Instituto de Formaci¾n y Estudios del Gobierno Local de Madrid	Almagro, 5	10	false
212	Hotel AC Palacio del Retiro	Alfonso XII, 14	10	false
213	Museo Nacional de Artes Decorativas	Montalbßn, 13	10	false
214	Plaza de Santa Ana	Plaza de Santa Ana	10	false
215	"Polideportivo ""Hortaleza"""	Ctra. Acceso a la Estación de Hortaleza, 11	5	false
216	"Polideportivo ""Hortaleza"""	Ctra. Acceso a la Estación de Hortaleza, 11	10	false
217	"Zona verde ""Cuevas de Almanzora"""	Cuevas de Almanzora - Bembibre	10	false
218	"Metro ""Legazpi"""	Plaza de Legazpi	10	false
219	Instalaciones Deportivas	Av. Buenos Aires, 99	10	false
220	Plaza de San Miguel	Ciudad Rodrigo, 6	10	false
221	Ejes principales del Plan Director	Corazón de Maria, 44	10	false
222	Tetußn Punto Joven	Dulcinea	10	false
223	Ejes principales del Plan Director	Paseo Castellana, 108	8	false
224	Teatro Valle Inclßn	Plaza de LavapiÚs	10	false
111	"IES ""RodrÝguez Valcßrcel"""	Plaza del Encuentro, 4	8	true
